6402,Morgan,April,Mrs,F,4/7/1950,34 Pothole Road,Detroit,MI,88645,1111111111,morgan@gmail.com,Member,4/7/1950,4/7/1950,2/8/2016,Married
9108,Morgan,Chase,Mr,M,8/10/1952,34 Pothole Road,Detroit,MI,66424,3345565882,bigbank@gmail.com,Member,8/10/1952,8/10/1952,3/7/2016,Married
3603,Freeman,Huey,Mr,M,1/11/1994,3rd Street,Austin,TX,47874,3333333333,huey@gmail.com,Visitor,1/11/1994,1/11/1994,12/31/2015,Single
3651,Possum,Awsome,Mr,M,3/15/1915,24th Street,Dallas,TX,21355,2222222222,awsome@gmail.com,Attender,3/15/1915,3/15/1915,6/16/2015,Single
6027,Blond,James,Mr,M,8/28/1974,James Ave,Waco,TX,13456,4567980954,spy@gmail.com,Attender,8/28/1974,8/28/1974,2/8/2016,Unknown
8478,Roberts,Abigale,Mrs,F,5/16/1956,Htown Drive,Houston,TX,12445,1000000000,roberts@gmail.com,Attender,5/16/1956,5/16/1956,4/16/2016,Single
1596,Watney,Lola,Mrs,F,9/19/1982,Main Street,Suburb Town,NM,67842,1100000000,wattts@gmail.com,Attender,9/19/1982,9/19/1982,4/19/2016,Divorced
3432,Hank,Homeless,Mr,M,5/16/1998,Avacado Street,Phennix,AZ,23456,1244600000,stillhomeless@gmail.com,Attender,5/16/1998,5/16/1998,3/14/2016,Single
8055,John,Chicago,Mr,M,10/30/1967,33 newlane street,Austin,TX,45453,9119119111,windycity@gmail.com,Member,10/30/1967,10/30/1967,2/8/2016,Married
8787,Coleman,Korey,Mr,M,6/7/1980,Wall Street,New York,NY,56576,9119119112,doubletoasted@gmail.com,Member,6/7/1980,6/7/1980,3/7/2016,Unknown
1273,Brando,Diego,Mr,M,2/13/1978,8 Tencent Ave,Los Angeles,CA,78634,3435000000,brando@gmail.com,Archived,2/13/1978,2/13/1978,8/11/2016,Single
3697,Williams,Ashley,Mrs,F,5/16/1972,12 Nowhere Lane,Nowhere,KA,33567,3254563473,wiiliams@gmail.com,Archived,5/16/1972,5/16/1972,2/28/2016,Single
5533,Montgomery,Aris,Mrs,F,3/14/1975,72 Dibs street,Austin,TX,22456,5677694531,montgomery@gmail.com,Member,3/14/1975,3/14/1975,1/8/2016,Married
9889,Watney,Marko,Mr,M,2/22/1992,New Old Road,Las Vegas,NV,33888,2353257646,redbear@gmail.com,Member,2/22/1992,2/22/1992,1/21/2016,Unknown
1109,Keyes,Veronica,Mrs,F,7/1/1996,34 Pothole Road,Detroit,MI,11344,1344565753,lostkeyes@gmail.com,Member,7/1/1996,7/1/1996,12/31/2015,Single
5028,John,Georgia,Mrs,F,2/28/2003,34 Pothole Road,Detroit,MI,44677,3454526577,fixthepotholes@gmail.com,Visitor,2/28/2003,2/28/2003,12/31/2015,Married
1960,Cars,Cassidy,Mrs,F,9/1/2015,Harrington Street,Austin,TX,22334,3536476745,cassidy@gmail.com,Dependent,9/1/2015,9/1/2015,6/16/2015,Not Applicable
2203,North,Angela,Mrs,F,10/11/1991,Freedom Steet,Lincoln,NE,33456,3653676742,usedcarsalesmen@gmail.com,Contact,10/11/1991,10/11/1991,2/8/2016,Single
8765,Sanders,Colonel,Mr,M,6/13/1999,15 Iron Road,Rust Town,OH,236805,5768635631,morechicken@gmail.com,Member,6/13/1999,6/13/1999,4/16/2016,Married
6950,Austin,Jane,Mrs,F,8/12/1990,Blue Road,Newburg,WA,60076,7878463220,books@gmail.com,Visitor,8/12/1990,8/12/1990,4/19/2016,Single
4513,Eclaire,Duncan,Mr,M,7/21/1989,Eddison Ave,Seattle,WA,56700,5657687894,eatatjoes@gmail.com,Visitor,7/21/1989,7/21/1989,3/14/2016,Unknown
6077,Calrissian,Lando,Mr,M,7/21/1980,Harrington Street,Austin,TX,23570,899908999,starwaring@gmail.com,Member,7/21/1980,7/21/1980,3/14/2016,Single
5941,Scream,Wilhelm,Mr,M,1/21/2005,Tencent Lane,Los Angeles,CA,13780,9999999943,screamingwill@gmail.com,Visitor,1/21/2005,1/21/2005,2/8/2016,Separated
5925,Johnson,Dwayne,Mr,M,3/23/1974,9 Rock Road,Los Angeles,CA,33468,9997887796,therock@gmail.com,Visitor,3/23/1974,3/23/1974,3/7/2016,Single
1567,Rowsey,Rhonda,Mrs,F,8/19/1976,Madden Street,Madden Town,WA,24906,3454569999,bonecusher@gmail.com,Visitor,8/19/1976,8/19/1976,8/11/2016,Single
3205,Castle,Frank,Mr,M,5/16/1970,13 Frog street,New York,NY,34568,5555555555,thepunisher@gmail.com,Archived,5/16/1970,5/16/1970,2/28/2016,Single
